[object Uint8Array]Source page: http://www.douban.com/group/people/Nairo/joins,
image_1_link,image_1_link/_alt,title_link,title_link/_text,title_link/_title,num_text
"http://img3.douban.com/icon/g251351-9.jpg","移动互联网产品经理","http://www.douban.com/group/251351/","移动互联网产品经理","移动互联网产品经理","(6476)"
"http://img3.douban.com/icon/g13872-2.jpg","NB产品经理","http://www.douban.com/group/new/","NB产品经理","NB产品经理","(8205)"
"http://img3.douban.com/icon/g47956-1.jpg","互联网产品经理","http://www.douban.com/group/internetpm/","互联网产品经理","互联网产品经理","(11502)"
"http://img3.douban.com/icon/g18543-5.jpg","IT产品经理","http://www.douban.com/group/ProductManager/","IT产品经理","IT产品经理","(16919)"
"http://img3.douban.com/icon/g545310-2.jpg","起点学院","http://www.douban.com/group/545310/","起点学院","起点学院","(7)"
"http://img3.douban.com/icon/g10108-2.jpg","深圳豆瓣","http://www.douban.com/group/shenzhen/","深圳豆瓣","深圳豆瓣","(96425)"
"http://img3.douban.com/icon/g106955-5.jpg","深圳租房团  (不欢迎中介)","http://www.douban.com/group/106955/","深圳租房团 (不欢迎中介)","深圳租房团  (不欢迎中介)","(46421)"
"http://img3.douban.com/icon/g46934-9.jpg","MacBook+Pro+Air","http://www.douban.com/group/MACBOOK/","MacBook+Pro+Air","MacBook+Pro+Air","(58768)"
"http://img3.douban.com/icon/g10233-3.jpg","买书如山倒 读书如抽丝","http://www.douban.com/group/buybook/","买书如山倒 读书如抽丝","买书如山倒 读书如抽丝","(290711)"
"http://img3.douban.com/icon/g402725-3.jpg","记事本圆梦小组","http://www.douban.com/group/402725/","记事本圆梦小组","记事本圆梦小组","(82650)"
"http://img3.douban.com/icon/g84869-2.jpg","INTJ (Introverted.Intuitive.Thinking.Judging)","http://www.douban.com/group/intj/","INTJ (Introverted.Intuitive.Thin...","INTJ (Introverted.Intuitive.Thinking.Judging)","(10274)"
"http://img3.douban.com/icon/g124802-1.jpg","Axure RP","http://www.douban.com/group/124802/","Axure RP","Axure RP","(6940)"
"http://img3.douban.com/icon/g111410-23.jpg","每月养成一个好习惯","http://www.douban.com/group/You_arelegend/","每月养成一个好习惯","每月养成一个好习惯","(410641)"
"http://img3.douban.com/icon/g80886-31.jpg","穷游天下丨旅行 · 旅游","http://www.douban.com/group/qiong/","穷游天下丨旅行 · 旅游","穷游天下丨旅行 · 旅游","(645402)"
"http://img3.douban.com/icon/g400731-4.jpg","向未死的梦想致敬。","http://www.douban.com/group/songqikui/","向未死的梦想致敬。","向未死的梦想致敬。","(17035)"
"http://img3.douban.com/icon/g46986-3.jpg","要有光","http://www.douban.com/group/yaoyouguang/","要有光","要有光","(3034)"
"http://img3.douban.com/icon/g249439-9.jpg","学习型友邻大集合","http://www.douban.com/group/249439/","学习型友邻大集合","学习型友邻大集合","(87840)"
"http://img3.douban.com/icon/g398746-2.jpg","世界太浮躁 而我决定静下心","http://www.douban.com/group/398746/","世界太浮躁 而我决定静下心","世界太浮躁 而我决定静下心","(5452)"
"http://img3.douban.com/icon/g260719-7.jpg","印象笔记","http://www.douban.com/group/yinxiangbiji/","印象笔记","印象笔记","(38425)"
"http://img3.douban.com/icon/g442879-8.jpg","你荒废时间的时候会有多少人在拼命","http://www.douban.com/group/442879/","你荒废时间的时候会有多少人在拼命","你荒废时间的时候会有多少人在拼命","(117057)"
"http://img3.douban.com/icon/g43017-7.jpg","我的强迫症 OCD","http://www.douban.com/group/43017/","我的强迫症 OCD","我的强迫症 OCD","(73734)"
"http://img3.douban.com/icon/g216507-1.jpg","我们都是图片控","http://www.douban.com/group/tupian/","我们都是图片控","我们都是图片控","(56902)"
"http://img3.douban.com/icon/g204174-16.jpg","拓词-少壮不努力，老大背单词","http://www.douban.com/group/towords/","拓词-少壮不努力，老大背单词","拓词-少壮不努力，老大背单词","(25785)"
"http://img3.douban.com/icon/g176322-3.jpg","机械迷城","http://www.douban.com/group/Machinarium/","机械迷城","机械迷城","(1537)"
"http://img3.douban.com/icon/g124140-4.jpg","景涛咆哮组！！！！！！！！！！！","http://www.douban.com/group/taotaopaoxiao/","景涛咆哮组！！！！！！！！！！！","景涛咆哮组！！！！！！！！！！！","(322756)"
"http://img3.douban.com/icon/g10259-1.jpg","WordPress","http://www.douban.com/group/wordpress/","WordPress","WordPress","(9199)"
"http://img3.douban.com/icon/g72895-6.jpg","MacbooK PRO","http://www.douban.com/group/72895/","MacbooK PRO","MacbooK PRO","(9417)"
"http://img3.douban.com/icon/g14060-3.jpg","以用户为中心的设计","http://www.douban.com/group/ucdchina/","以用户为中心的设计","以用户为中心的设计","(14219)"
"http://img3.douban.com/icon/g10098-3.jpg","英文原版书友会","http://www.douban.com/group/english/","英文原版书友会","英文原版书友会","(129906)"
